Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,3.4881529808044434,8.438536643981934,3.2617568969726562,6.897256851196289,6.897256851196289,6061110198
2020-09-19,6.945577144622803,7.443274974822998,5.3217949867248535,5.724463939666748,5.724463939666748,2447471305
2020-09-20,5.72051477432251,6.050325870513916,4.720210075378418,5.244194984436035,5.244194984436035,1554143599
2020-09-21,5.244194984436035,5.62215518951416,4.160743236541748,4.266078948974609,4.266078948974609,1329464490
2020-09-22,4.2750139236450195,4.554091930389404,3.755039930343628,3.9051380157470703,3.9051380157470703,816282684
2020-09-23,3.9179439544677734,4.707647800445557,3.916562080383301,4.653264999389648,4.653264999389648,964205457
2020-09-24,4.448575973510742,5.249794960021973,4.448575019836426,5.137266159057617,5.137266159057617,1168427377
2020-09-25,5.1604461669921875,5.528678894042969,4.848576068878174,5.012951850891113,5.012951850891113,882242519
2020-09-26,5.011349201202393,5.225045204162598,4.737246036529541,4.805881023406982,4.805881023406982,463707078
2020-09-27,4.802268981933594,5.442522048950195,4.72870397567749,4.7808990478515625,4.7808990478515625,444099192
2020-09-28,4.781429767608643,4.937264919281006,4.164315223693848,4.187979221343994,4.187979221343994,435788116
2020-09-29,4.187973976135254,4.417395114898682,4.118353843688965,4.417379856109619,4.417379856109619,356399047
2020-09-30,4.448182106018066,4.448671817779541,3.9218928813934326,4.013014793395996,4.013014793395996,375777187
2020-10-01,4.014051914215088,4.506503105163574,3.974045991897583,4.259864807128906,4.259864807128906,701098958
2020-10-02,4.2617998123168945,4.2922210693359375,3.6655540466308594,3.785897970199585,3.785897970199585,646428104
2020-10-03,3.7836039066314697,4.124611854553223,3.7492868900299072,3.791614055633545,3.791614055633545,359042995
2020-10-04,3.797646999359131,3.8160879611968994,3.616776943206787,3.6689250469207764,3.6689250469207764,413697306
2020-10-05,3.6689250469207764,3.716207981109619,3.3412559032440186,3.4192049503326416,3.4192049503326416,497456257
2020-10-06,3.416883945465088,3.416883945465088,2.7210121154785156,2.8342409133911133,2.8342409133911133,681166626
2020-10-07,2.8423221111297607,2.9886670112609863,2.4628679752349854,2.8000640869140625,2.8000640869140625,664950267
2020-10-08,2.79732608795166,3.417099952697754,2.5826079845428467,3.27030611038208,3.27030611038208,717724262
2020-10-09,3.2856600284576416,3.5552730560302734,2.9953999519348145,3.09736704826355,3.09736704826355,672751181
2020-10-10,3.0818119049072266,3.632204055786133,3.0549280643463135,3.3315269947052,3.3315269947052,562610977
2020-10-11,3.3312389850616455,3.4421749114990234,3.2507429122924805,3.387239933013916,3.387239933013916,411091368
2020-10-12,3.379020929336548,3.4290430545806885,3.203084945678711,3.260261058807373,3.260261058807373,558369285
2020-10-13,3.2616729736328125,3.622659921646118,3.235384941101074,3.4972660541534424,3.4972660541534424,383311535
2020-10-14,3.5001790523529053,3.5824520587921143,2.648806095123291,3.0820229053497314,3.0820229053497314,516845493
2020-10-15,3.0773489475250244,3.0774099826812744,2.86653995513916,2.906949043273926,2.906949043273926,439092200
2020-10-16,2.9083828926086426,3.1633551120758057,2.805558919906616,3.0349769592285156,3.0349769592285156,578856190
2020-10-17,3.0373730659484863,3.085675001144409,2.9605278968811035,3.000683069229126,3.000683069229126,274343380
2020-10-18,2.99507999420166,3.276798963546753,2.9827609062194824,3.2668590545654297,3.2668590545654297,270238697
2020-10-19,3.274674892425537,3.2818660736083984,3.1287379264831543,3.177664041519165,3.177664041519165,353126948
2020-10-20,3.1735830307006836,3.1812970638275146,2.821474075317383,2.869800090789795,2.869800090789795,542347476
2020-10-21,2.8618969917297363,3.065713882446289,2.8508310317993164,2.9413740634918213,2.9413740634918213,641102100
2020-10-22,2.9408481121063232,3.139806032180786,2.930285930633545,3.03944993019104,3.03944993019104,490414767
2020-10-23,3.0440731048583984,3.1202809810638428,2.974442958831787,3.012190103530884,3.012190103530884,340365373
2020-10-24,3.012190103530884,3.083292007446289,2.9377100467681885,2.9432570934295654,2.9432570934295654,228726426
2020-10-25,2.9432570934295654,2.966797113418579,2.7299389839172363,2.775747060775757,2.775747060775757,280177013
2020-10-26,2.775747060775757,2.8681530952453613,2.5507009029388428,2.725903034210205,2.725903034210205,402513710
2020-10-27,2.725903034210205,2.9005489349365234,2.7107880115509033,2.8223989009857178,2.8223989009857178,374717069
2020-10-28,2.8223989009857178,2.850339889526367,2.5993618965148926,2.6761159896850586,2.6761159896850586,382606652
2020-10-29,2.6761159896850586,2.7345690727233887,2.4940900802612305,2.5416159629821777,2.5416159629821777,452924614
2020-10-30,2.541616916656494,2.5547289848327637,2.265244960784912,2.414167881011963,2.414167881011963,407724693
2020-10-31,2.414167881011963,2.414167881011963,2.2515969276428223,2.266427993774414,2.266427993774414,195366723
2020-11-01,2.266427993774414,2.433621883392334,2.2274580001831055,2.379304885864258,2.379304885864258,189355187
2020-11-02,2.379304885864258,2.4408349990844727,2.2432570457458496,2.2542600631713867,2.2542600631713867,267321819
2020-11-03,2.2542600631713867,2.2810230255126953,2.0659420490264893,2.1343190670013428,2.1343190670013428,249641515
2020-11-04,2.1343250274658203,2.1603870391845703,1.8889729976654053,1.9301190376281738,1.9301190376281738,339588343
2020-11-05,1.930122971534729,2.4016170501708984,1.7638169527053833,2.2061290740966797,2.2061290740966797,513013238
2020-11-06,2.206115961074829,2.6778810024261475,2.1820309162139893,2.550795078277588,2.550795078277588,584436650
2020-11-07,2.550795078277588,2.9958579540252686,2.4481260776519775,2.4664969444274902,2.4664969444274902,771051235
2020-11-08,2.4664969444274902,2.8853700160980225,2.4425570964813232,2.8486170768737793,2.8486170768737793,478996897
2020-11-09,2.8486170768737793,2.852005958557129,2.5862860679626465,2.676862955093384,2.676862955093384,486394678
2020-11-10,2.6768639087677,3.103295087814331,2.6401329040527344,3.0075440406799316,3.0075440406799316,514331154
2020-11-11,3.0075440406799316,3.1498959064483643,2.8770649433135986,2.912374973297119,2.912374973297119,525551143
2020-11-12,2.912374973297119,3.0815811157226562,2.827265977859497,2.9301419258117676,2.9301419258117676,538966370
2020-11-13,2.9301419258117676,3.9613499641418457,2.906121015548706,3.8796589374542236,3.8796589374542236,765960347
2020-11-14,3.8796589374542236,3.9537460803985596,3.534730911254883,3.8091070652008057,3.8091070652008057,774643440
2020-11-15,3.8091070652008057,4.23602294921875,3.6348490715026855,3.862006902694702,3.862006902694702,742520518
2020-11-16,3.862006902694702,3.9329071044921875,3.459238052368164,3.6040120124816895,3.6040120124816895,739416980
2020-11-17,3.759260892868042,3.848436117172241,3.485387086868286,3.803481101989746,3.803481101989746,753340390
2020-11-18,3.8034539222717285,3.8474059104919434,3.288325071334839,3.463665008544922,3.463665008544922,855595852
2020-11-19,3.4636800289154053,3.8848750591278076,3.2475080490112305,3.733059883117676,3.733059883117676,690972294
2020-11-20,3.733059883117676,4.0839619636535645,3.6842150688171387,3.840914011001587,3.840914011001587,1046467101
